,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
deltaG1_0,3700.0,2600.0,1.0,1.7e-05,1.3e-05
deltaG4_0,3600.0,2400.0,1.0,7.4e-05,5.7e-05
deltaG5_0,490.0,760.0,1.0,0.00023,0.00016
beta_2,510.0,570.0,1.0,0.0019,0.0011
q,580.0,630.0,1.0,0.0013,0.00085
Gact2_BF_0,480.0,710.0,1.0,0.00021,0.00014
Gact2_LH_0,3100.0,2300.0,1.0,7.7e-05,7.5e-05
sigma_ln_rate_material[Ag10Pd90],5100.0,3100.0,1.0,0.00011,7.5e-05
sigma_ln_rate_setup_material[Ag10Pd90],1900.0,2400.0,1.0,0.00064,0.00083
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=A],3900.0,3300.0,1.0,0.011,0.0075
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=B],3500.0,2900.0,1.0,0.011,0.008
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.25 | replicate=C],3400.0,3000.0,1.0,0.012,0.0083
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=A],4000.0,3000.0,1.0,0.01,0.0076
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=B],3700.0,3100.0,1.0,0.011,0.0078
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=0.5 | replicate=C],3600.0,3000.0,1.0,0.011,0.0078
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=A],3200.0,3100.0,1.0,0.012,0.0086
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=B],3700.0,3200.0,1.0,0.011,0.0079
z_ln_rate_setup[material=Ag10Pd90 | electrolyte_concentration_M=1.0 | replicate=C],3600.0,3100.0,1.0,0.011,0.0078
