material,variable,mean,sd,median,hdi95_lower,hdi95_upper
Ag10Pd90,sigma_ln_rate_material,1.0058326961428425,0.01929389405227519,1.0052408066732275,0.9684832042845868,1.044204036749365
Ag25Pd75,sigma_ln_rate_material,0.6818672101979937,0.01397181966147892,0.6813252204096709,0.6556323336950338,0.7093276823053518
Ag50Pd50,sigma_ln_rate_material,0.4010396178686572,0.007872255724565697,0.40095442910012574,0.3855560922626988,0.41667215160975735
Ag75Pd25,sigma_ln_rate_material,0.3565008403315891,0.007090161906177423,0.3563346729897203,0.3427124505805906,0.37032356278465256
Ag90Pd10,sigma_ln_rate_material,0.6077221312354688,0.01270774747910433,0.6074192662490769,0.5826369157460171,0.6324103822578262
Pd100,sigma_ln_rate_material,0.383032194001735,0.007503647492103032,0.3827807079921446,0.3686674640199183,0.3972628076001977
