      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 23:38:27  -107208.792940*       9.9838
FIRE:    1 23:44:38  -107209.646524*       5.1524
FIRE:    2 23:49:45  -107209.731715*       1.7154
FIRE:    3 23:54:13  -107209.729695*       2.1814
FIRE:    4 23:57:12  -107209.735266*       1.9386
FIRE:    5 00:00:26  -107209.744111*       1.4494
FIRE:    6 00:03:58  -107209.752559*       0.7900
FIRE:    7 00:07:30  -107209.757440*       0.5236
FIRE:    8 00:10:44  -107209.758598*       0.9849
FIRE:    9 00:12:40  -107209.758975*       0.9585
FIRE:   10 00:15:27  -107209.759683*       0.8896
FIRE:   11 00:17:45  -107209.760667*       0.7939
FIRE:   12 00:21:03  -107209.761858*       0.6791
FIRE:   13 00:24:03  -107209.763163*       0.5623
FIRE:   14 00:27:26  -107209.764522*       0.4757
FIRE:   15 00:31:35  -107209.765880*       0.4942
FIRE:   16 00:35:05  -107209.767366*       0.4686
FIRE:   17 00:38:34  -107209.769013*       0.3882
FIRE:   18 00:42:59  -107209.770900*       0.4579
FIRE:   19 00:46:24  -107209.773197*       0.5304
FIRE:   20 00:49:49  -107209.776081*       0.5459
FIRE:   21 00:54:27  -107209.779686*       0.5156
FIRE:   22 00:58:29  -107209.783950*       0.4012
FIRE:   23 01:03:21  -107209.788627*       0.4089
FIRE:   24 01:06:56  -107209.793462*       0.3545
FIRE:   25 01:11:40  -107209.798565*       0.4660
FIRE:   26 01:15:25  -107209.804200*       0.4281
FIRE:   27 01:19:18  -107209.810031*       0.2784
FIRE:   28 01:24:16  -107209.815275*       0.3990
FIRE:   29 01:28:45  -107209.820280*       0.4236
FIRE:   30 01:33:29  -107209.825177*       0.1986
FIRE:   31 01:38:26  -107209.829511*       0.4237
FIRE:   32 01:43:45  -107209.834584*       0.2303
FIRE:   33 01:48:51  -107209.839890*       0.4286
FIRE:   34 01:54:22  -107209.846725*       0.2084
FIRE:   35 01:59:52  -107209.853829*       0.4111
FIRE:   36 02:04:20  -107209.861312*       0.3510
FIRE:   37 02:09:27  -107209.867761*       0.1891
FIRE:   38 02:14:09  -107209.872436*       0.1952
FIRE:   39 02:19:31  -107209.875664*       0.3489
FIRE:   40 02:24:39  -107209.874445*       1.0346
FIRE:   41 02:28:39  -107209.879349*       0.0936
FIRE:   42 02:33:03  -107209.876454*       0.9935
FIRE:   43 02:37:27  -107209.878294*       0.7280
FIRE:   44 02:40:19  -107209.880192*       0.3064
FIRE:   45 02:43:40  -107209.880493*       0.2584
FIRE:   46 02:45:56  -107209.880542*       0.2676
FIRE:   47 02:48:44  -107209.880621*       0.2365
FIRE:   48 02:51:34  -107209.880727*       0.2044
FIRE:   49 02:53:45  -107209.880848*       0.1620
FIRE:   50 02:57:35  -107209.880968*       0.1114
FIRE:   51 03:00:14  -107209.881081*       0.0935
FIRE:   52 03:02:51  -107209.881190*       0.1032
FIRE:   53 03:06:25  -107209.881321*       0.1409
FIRE:   54 03:09:10  -107209.881471*       0.1648
FIRE:   55 03:12:26  -107209.881697*       0.1687
FIRE:   56 03:15:52  -107209.881971*       0.1466
FIRE:   57 03:19:10  -107209.882296*       0.0904
FIRE:   58 03:23:02  -107209.882633*       0.0931
FIRE:   59 03:27:27  -107209.882997*       0.1375
FIRE:   60 03:30:30  -107209.883407*       0.1433
FIRE:   61 03:36:37  -107209.883906*       0.1128
FIRE:   62 03:40:04  -107209.884404*       0.0784
FIRE:   63 03:43:51  -107209.884888*       0.1315
FIRE:   64 03:47:41  -107209.885437*       0.0798
FIRE:   65 03:51:09  -107209.885960*       0.1142
FIRE:   66 03:54:41  -107209.886527*       0.1128
FIRE:   67 03:59:30  -107209.887120*       0.1035
FIRE:   68 04:03:24  -107209.887748*       0.0857
FIRE:   69 04:07:08  -107209.888355*       0.1452
FIRE:   70 04:11:07  -107209.888985*       0.0882
FIRE:   71 04:15:19  -107209.889500*       0.0480
